Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
insregistration,Firefox 67.0,,2019-07-07 17:43:44,2019-07-07 17:44:39,54.867s,FAILED
,,,,,,
Test Cases/insregistration,Firefox 67.0,,2019-07-07 17:43:44,2019-07-07 17:44:37,52.562s,FAILED
"openBrowser("""")",Firefox 67.0,,2019-07-07 17:43:45,2019-07-07 17:43:51,6.742s,PASSED
"navigateToUrl(""http://localhost:8090/eclinic/"")",Firefox 67.0,,2019-07-07 17:43:51,2019-07-07 17:43:52,0.354s,PASSED
delay(5),Firefox 67.0,,2019-07-07 17:43:52,2019-07-07 17:43:57,5.037s,PASSED
"setText(findTestObject(""Components/logins/input_MEDAS HIS_user_name""), username)",Firefox 67.0,,2019-07-07 17:43:57,2019-07-07 17:43:57,0.111s,PASSED
"setText(findTestObject(""Components/logins/input_MEDAS HIS_user_password""), password)",Firefox 67.0,,2019-07-07 17:43:57,2019-07-07 17:43:57,0.045s,PASSED
"click(findTestObject(""Components/Buttons/login""))",Firefox 67.0,,2019-07-07 17:43:57,2019-07-07 17:43:59,2.379s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/officeselection""))",Firefox 67.0,,2019-07-07 17:43:59,2019-07-07 17:44:00,0.307s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/selectoffice""))",Firefox 67.0,,2019-07-07 17:44:00,2019-07-07 17:44:00,0.258s,PASSED
"click(findTestObject(""Components/Buttons/go""))",Firefox 67.0,,2019-07-07 17:44:00,2019-07-07 17:44:04,3.960s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/Frontdesktab""))",Firefox 67.0,,2019-07-07 17:44:04,2019-07-07 17:44:06,2.229s,PASSED
delay(3),Firefox 67.0,,2019-07-07 17:44:06,2019-07-07 17:44:09,3.002s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/registrationTab""))",Firefox 67.0,,2019-07-07 17:44:09,2019-07-07 17:44:12,2.910s,PASSED
delay(3),Firefox 67.0,,2019-07-07 17:44:12,2019-07-07 17:44:15,3.004s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/ReferralSelectionClick""))",Firefox 67.0,,2019-07-07 17:44:15,2019-07-07 17:44:15,0.317s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/ReferralSelected""))",Firefox 67.0,,2019-07-07 17:44:15,2019-07-07 17:44:15,0.270s,PASSED
