Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
insregistration,Firefox 67.0,,2019-07-23 12:21:35,2019-07-23 12:22:46,1m - 10.261s,FAILED
,,,,,,
Test Cases/insregistration,Firefox 67.0,,2019-07-23 12:21:36,2019-07-23 12:22:44,1m - 8.172s,FAILED
"openBrowser("""")",Firefox 67.0,,2019-07-23 12:21:36,2019-07-23 12:21:45,8.569s,PASSED
"navigateToUrl(""http://localhost:8090/eclinic/index.jsp"")",Firefox 67.0,,2019-07-23 12:21:45,2019-07-23 12:21:46,0.826s,PASSED
delay(5),Firefox 67.0,,2019-07-23 12:21:46,2019-07-23 12:21:51,5.036s,PASSED
"setText(findTestObject(""Components/logins/input_MEDAS HIS_user_name""), username)",Firefox 67.0,,2019-07-23 12:21:51,2019-07-23 12:21:51,0.105s,PASSED
"setText(findTestObject(""Components/logins/input_MEDAS HIS_user_password""), password)",Firefox 67.0,,2019-07-23 12:21:51,2019-07-23 12:21:51,0.054s,PASSED
"click(findTestObject(""Components/Buttons/login""))",Firefox 67.0,,2019-07-23 12:21:51,2019-07-23 12:21:52,0.768s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/officeselection""))",Firefox 67.0,,2019-07-23 12:21:52,2019-07-23 12:21:52,0.278s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/selectoffice""))",Firefox 67.0,,2019-07-23 12:21:52,2019-07-23 12:21:52,0.270s,PASSED
"click(findTestObject(""Components/Buttons/go""))",Firefox 67.0,,2019-07-23 12:21:52,2019-07-23 12:21:53,1.242s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/Frontdesktab""))",Firefox 67.0,,2019-07-23 12:21:53,2019-07-23 12:21:55,1.548s,PASSED
delay(3),Firefox 67.0,,2019-07-23 12:21:55,2019-07-23 12:21:58,3.003s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/registrationTab""))",Firefox 67.0,,2019-07-23 12:21:58,2019-07-23 12:21:59,1.049s,PASSED
delay(3),Firefox 67.0,,2019-07-23 12:21:59,2019-07-23 12:22:02,3.006s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/ReferralSelectionClick""))",Firefox 67.0,,2019-07-23 12:22:02,2019-07-23 12:22:02,0.277s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/ReferralSelected""))",Firefox 67.0,,2019-07-23 12:22:02,2019-07-23 12:22:03,0.241s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/ConsultationSelectionClick""))",Firefox 67.0,,2019-07-23 12:22:03,2019-07-23 12:22:03,0.256s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/ConsultationSelected""))",Firefox 67.0,,2019-07-23 12:22:03,2019-07-23 12:22:03,0.275s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/AlreadyGenerated""))",Firefox 67.0,,2019-07-23 12:22:03,2019-07-23 12:22:03,0.258s,PASSED
"setText(findTestObject(""cashregister/Page_eClinicUserAdministrator/PatientName""), patientname)",Firefox 67.0,,2019-07-23 12:22:03,2019-07-23 12:22:03,0.082s,PASSED
delay(2),Firefox 67.0,,2019-07-23 12:22:03,2019-07-23 12:22:05,2.004s,PASSED
"setText(findTestObject(""cashregister/Page_eClinicUserAdministrator/DOB""), ""11111985"")",Firefox 67.0,,2019-07-23 12:22:05,2019-07-23 12:22:06,0.074s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:06,2019-07-23 12:22:07,1.003s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/GenderClick""))",Firefox 67.0,,2019-07-23 12:22:07,2019-07-23 12:22:07,0.253s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:07,2019-07-23 12:22:08,1.002s,PASSED
"selectOptionByValue(findTestObject(""cashregister/Page_eClinicUserAdministrator/GenderSelected""), ""Male"", true)",Firefox 67.0,,2019-07-23 12:22:08,2019-07-23 12:22:08,0.371s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:08,2019-07-23 12:22:09,1.017s,PASSED
"selectOptionByValue(findTestObject(""cashregister/Page_eClinicUserAdministrator/VisaTypeSelected""), ""resident"", true)",Firefox 67.0,,2019-07-23 12:22:09,2019-07-23 12:22:10,0.366s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:10,2019-07-23 12:22:11,1.002s,PASSED
"selectOptionByValue(findTestObject(""cashregister/Page_eClinicUserAdministrator/Mobile1Ext""), ""97155"", true)",Firefox 67.0,,2019-07-23 12:22:11,2019-07-23 12:22:11,0.624s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:11,2019-07-23 12:22:12,1.001s,PASSED
"setText(findTestObject(""cashregister/Page_eClinicUserAdministrator/MobilenumInserted""), mobile)",Firefox 67.0,,2019-07-23 12:22:12,2019-07-23 12:22:12,0.053s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:12,2019-07-23 12:22:13,1.007s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/Mobile2ExtClick""))",Firefox 67.0,,2019-07-23 12:22:13,2019-07-23 12:22:14,0.261s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:14,2019-07-23 12:22:15,1.002s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/Mobile2ExtSelected""))",Firefox 67.0,,2019-07-23 12:22:15,2019-07-23 12:22:15,0.240s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:15,2019-07-23 12:22:16,1.001s,PASSED
"setText(findTestObject(""cashregister/Page_eClinicUserAdministrator/Mobile2Inserted""), ""5841201214"")",Firefox 67.0,,2019-07-23 12:22:16,2019-07-23 12:22:16,0.062s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:16,2019-07-23 12:22:17,1.001s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/CityClick""))",Firefox 67.0,,2019-07-23 12:22:17,2019-07-23 12:22:17,0.256s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:17,2019-07-23 12:22:18,1.005s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/CitySelected""))",Firefox 67.0,,2019-07-23 12:22:18,2019-07-23 12:22:18,0.264s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:18,2019-07-23 12:22:19,1.006s,PASSED
"setText(findTestObject(""cashregister/Page_eClinicUserAdministrator/EmailInserted""), ""we@qq.com"")",Firefox 67.0,,2019-07-23 12:22:19,2019-07-23 12:22:19,0.058s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:19,2019-07-23 12:22:20,1.004s,PASSED
"setText(findTestObject(""cashregister/Page_eClinicUserAdministrator/FathernameInserted""), ""dad"")",Firefox 67.0,,2019-07-23 12:22:20,2019-07-23 12:22:20,0.049s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:20,2019-07-23 12:22:21,1.002s,PASSED
"setText(findTestObject(""cashregister/Page_eClinicUserAdministrator/DesignationInserted""), ""qa"")",Firefox 67.0,,2019-07-23 12:22:21,2019-07-23 12:22:22,0.047s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:22,2019-07-23 12:22:23,1.002s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/SourceClick""))",Firefox 67.0,,2019-07-23 12:22:23,2019-07-23 12:22:23,0.261s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:23,2019-07-23 12:22:24,1.001s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/SourceSelected""))",Firefox 67.0,,2019-07-23 12:22:24,2019-07-23 12:22:24,0.264s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:24,2019-07-23 12:22:25,1.002s,PASSED
"setText(findTestObject(""cashregister/Page_eClinicUserAdministrator/SourceInserted""), ""source tested"")",Firefox 67.0,,2019-07-23 12:22:25,2019-07-23 12:22:25,0.055s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:25,2019-07-23 12:22:26,1.004s,PASSED
"setText(findTestObject(""cashregister/Page_eClinicUserAdministrator/EmergencyNameInserted""), ""4578124512"")",Firefox 67.0,,2019-07-23 12:22:26,2019-07-23 12:22:26,0.051s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:26,2019-07-23 12:22:27,1.001s,PASSED
"setText(findTestObject(""cashregister/Page_eClinicUserAdministrator/RelationInserted""), ""fath"")",Firefox 67.0,,2019-07-23 12:22:27,2019-07-23 12:22:27,0.055s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:27,2019-07-23 12:22:28,1.005s,PASSED
"selectOptionByValue(findTestObject(""cashregister/Page_eClinicUserAdministrator/DepartmentSelected""), ""6"", false)",Firefox 67.0,,2019-07-23 12:22:28,2019-07-23 12:22:29,0.270s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:29,2019-07-23 12:22:30,1.002s,PASSED
"selectOptionByValue(findTestObject(""cashregister/Page_eClinicUserAdministrator/DoctorSelected""), ""3"", false)",Firefox 67.0,,2019-07-23 12:22:30,2019-07-23 12:22:30,0.284s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:30,2019-07-23 12:22:31,1.002s,PASSED
"selectOptionByValue(findTestObject(""cashregister/Page_eClinicUserAdministrator/NationalitySelected""), ""2"", false)",Firefox 67.0,,2019-07-23 12:22:31,2019-07-23 12:22:31,0.284s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:31,2019-07-23 12:22:32,1.003s,PASSED
"setText(findTestObject(""cashregister/Page_eClinicUserAdministrator/EmiratesIDInserted""), residenceid, CONTINUE_ON_FAILURE)",Firefox 67.0,,2019-07-23 12:22:32,2019-07-23 12:22:32,0.062s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:32,2019-07-23 12:22:33,1.003s,PASSED
"selectOptionByValue(findTestObject(""cashregister/Page_eClinicUserAdministrator/OtherIDClick""), ""3"", false)",Firefox 67.0,,2019-07-23 12:22:33,2019-07-23 12:22:33,0.270s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:33,2019-07-23 12:22:34,1.001s,PASSED
"setText(findTestObject(""cashregister/Page_eClinicUserAdministrator/OtherIDInserted""), ""230232421"")",Firefox 67.0,,2019-07-23 12:22:34,2019-07-23 12:22:34,0.049s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:34,2019-07-23 12:22:35,1.001s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/TelephoneClick""))",Firefox 67.0,,2019-07-23 12:22:35,2019-07-23 12:22:36,0.247s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:36,2019-07-23 12:22:37,1.002s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/TelephoneSelected""))",Firefox 67.0,,2019-07-23 12:22:37,2019-07-23 12:22:37,0.244s,PASSED
delay(1),Firefox 67.0,,2019-07-23 12:22:37,2019-07-23 12:22:38,1.001s,PASSED
"setText(findTestObject(""cashregister/Page_eClinicUserAdministrator/TelephoneInserted""), ""231789512"")",Firefox 67.0,,2019-07-23 12:22:38,2019-07-23 12:22:38,0.051s,PASSED
