Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SanityTestSuite,Firefox 67.0,,2019-07-22 12:23:19,2019-07-22 12:26:49,3m - 30.588s,FAILED
,,,,,,
Test Cases/userlogin,Firefox 67.0,,2019-07-22 12:23:19,2019-07-22 12:23:34,15.415s,PASSED
"openBrowser("""")",Firefox 67.0,,2019-07-22 12:23:19,2019-07-22 12:23:26,6.871s,PASSED
"navigateToUrl(""http://localhost:8090/eclinic/"")",Firefox 67.0,,2019-07-22 12:23:26,2019-07-22 12:23:27,0.501s,PASSED
delay(5),Firefox 67.0,,2019-07-22 12:23:27,2019-07-22 12:23:32,5.020s,PASSED
"setText(findTestObject(""Components/logins/input_MEDAS HIS_user_name""), ""Admin"")",Firefox 67.0,,2019-07-22 12:23:32,2019-07-22 12:23:32,0.094s,PASSED
"setText(findTestObject(""Components/logins/input_MEDAS HIS_user_password""), ""12345"")",Firefox 67.0,,2019-07-22 12:23:32,2019-07-22 12:23:32,0.076s,PASSED
"click(findTestObject(""Components/Buttons/login""))",Firefox 67.0,,2019-07-22 12:23:32,2019-07-22 12:23:32,0.779s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/officeselection""))",Firefox 67.0,,2019-07-22 12:23:32,2019-07-22 12:23:33,0.273s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/selectoffice""))",Firefox 67.0,,2019-07-22 12:23:33,2019-07-22 12:23:33,0.330s,PASSED
"click(findTestObject(""Components/Buttons/go""))",Firefox 67.0,,2019-07-22 12:23:33,2019-07-22 12:23:34,1.210s,PASSED
,,,,,,
Test Cases/registrationlists,Firefox 67.0,,2019-07-22 12:23:34,2019-07-22 12:24:13,38.623s,PASSED
"click(findTestObject(""Object Repository/registrationlists/span_Front Desk""))",Firefox 67.0,,2019-07-22 12:23:35,2019-07-22 12:23:36,1.478s,PASSED
"click(findTestObject(""Object Repository/registrationlists/span_Registration""))",Firefox 67.0,,2019-07-22 12:23:36,2019-07-22 12:23:38,1.851s,PASSED
"click(findTestObject(""Object Repository/registrationlists/span_Registration List""))",Firefox 67.0,,2019-07-22 12:23:38,2019-07-22 12:23:38,0.544s,PASSED
"setText(findTestObject(""Object Repository/registrationlists/input_Action_op_number""), ""DMC01-035984"")",Firefox 67.0,,2019-07-22 12:23:38,2019-07-22 12:23:39,0.156s,PASSED
