Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SanityTestSuite,Firefox 67.0,,2019-07-06 11:09:49,2019-07-06 11:11:01,1m - 12.051s,FAILED
,,,,,,
Test Cases/userlogin,Firefox 67.0,,2019-07-06 11:09:49,2019-07-06 11:10:08,18.743s,PASSED
"openBrowser("""")",Firefox 67.0,,2019-07-06 11:09:49,2019-07-06 11:09:56,6.634s,PASSED
"navigateToUrl(""http://localhost:8090/eclinic/"")",Firefox 67.0,,2019-07-06 11:09:56,2019-07-06 11:09:56,0.344s,PASSED
delay(5),Firefox 67.0,,2019-07-06 11:09:56,2019-07-06 11:10:01,5.039s,PASSED
"setText(findTestObject(""Components/logins/input_MEDAS HIS_user_name""), ""Admin"")",Firefox 67.0,,2019-07-06 11:10:02,2019-07-06 11:10:02,0.159s,PASSED
"setText(findTestObject(""Components/logins/input_MEDAS HIS_user_password""), ""12345"")",Firefox 67.0,,2019-07-06 11:10:02,2019-07-06 11:10:02,0.087s,PASSED
"click(findTestObject(""Components/Buttons/login""))",Firefox 67.0,,2019-07-06 11:10:02,2019-07-06 11:10:04,2.342s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/officeselection""))",Firefox 67.0,,2019-07-06 11:10:04,2019-07-06 11:10:04,0.276s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/selectoffice""))",Firefox 67.0,,2019-07-06 11:10:04,2019-07-06 11:10:05,0.319s,PASSED
"click(findTestObject(""Components/Buttons/go""))",Firefox 67.0,,2019-07-06 11:10:05,2019-07-06 11:10:08,3.282s,PASSED
,,,,,,
Test Cases/cashregistration,Firefox 67.0,,2019-07-06 11:10:08,2019-07-06 11:10:26,17.542s,FAILED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/Frontdesktab""))",Firefox 67.0,,2019-07-06 11:10:08,2019-07-06 11:10:11,2.197s,PASSED
delay(3),Firefox 67.0,,2019-07-06 11:10:11,2019-07-06 11:10:14,3.006s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/registrationTab""))",Firefox 67.0,,2019-07-06 11:10:14,2019-07-06 11:10:16,2.116s,PASSED
delay(3),Firefox 67.0,,2019-07-06 11:10:16,2019-07-06 11:10:19,3.005s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/ReferralSelectionClick""))",Firefox 67.0,,2019-07-06 11:10:19,2019-07-06 11:10:19,0.311s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/ReferralSelected""))",Firefox 67.0,,2019-07-06 11:10:19,2019-07-06 11:10:19,0.291s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/ConsultationSelectionClick""))",Firefox 67.0,,2019-07-06 11:10:19,2019-07-06 11:10:20,0.291s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/ConsultationSelected""))",Firefox 67.0,,2019-07-06 11:10:20,2019-07-06 11:10:20,0.270s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/AlreadyGenerated""))",Firefox 67.0,,2019-07-06 11:10:20,2019-07-06 11:10:20,0.285s,PASSED
